Code,Type,Term,Select for,Changes starting with 2015 cases,,,,,
8507/2,Rpt,Intraductal micropapillary carcinoma,,,,,,,
8507/2,Rpt,"Ductal carcinoma in situ, micropapillary",,,,,,,
8507/2,Rpt,"Intraductal carcinoma, clinging",,,,,,,
8507/3,Rpt,"Ductal carcinoma, micropapillary",,,,,,,
8508/3,Rpt,Cystic hypersecretory carcinoma,,,,,,,
8510/3,Rpt,"Medullary carcinoma, NOS",,,,,,,
8510/3,Rpt,Medullary adenocarcinoma,,,,,,,
8512/3,Rpt,Medullary carcinoma with lymphoid stroma,,,,,,,
8513/3,Rpt,Atypical medullary carcinoma,,,,,,,
8514/3,Rpt,"Duct carcinoma, desmoplastic type",,,,,,,
8520/2,Rpt,"Lobular carcinoma in situ, NOS",,,,,,,
8520/2,Rpt,"Lobular carcinoma, noninfiltrating",,,,,,,
8520/2,Rpt,"LCIS, NOS",,,,,,,
8520/3,Rpt,"Lobular carcinoma, NOS",,,,,,,
8520/3,Rpt,Lobular adenocarcinoma,,,,,,,
8520/3,Rpt,Infiltrating lobular carcinoma,,,,,,,
8521/3,Rpt,Infiltrating ductular carcinoma,,,,,,,
8522/2,Rpt,Intraductal carcinoma and lobular carcinoma in situ,,,,,,,
8522/3,Rpt,Infiltrating duct and lobular carcinoma,,,,,,,
8522/3,Rpt,Lobular and ductal carcinoma,,,,,,,
8522/3,Rpt,Infiltrating duct and lobular carcinoma in situ,,,,,,,
8522/3,Rpt,Intraductal and lobular carcinoma,,,,,,,
8522/3,Rpt,Infiltrating lobular carcinoma and ductal carcinoma in situ,,,,,,,
8523/3,Rpt,Infiltrating duct mixed with other types of carcinoma,,,,,,,
8523/3,Rpt,Infiltrating duct and cribriform carcinoma,,,,,,,
8523/3,Rpt,Infiltrating duct and mucinous carcinoma,,,,,,,
8523/3,Rpt,Infiltrating duct and tubular carcinoma,,,,,,,
8523/3,Rpt,Infiltrating duct and colloid carcinoma,,,,,,,
8524/3,Rpt,Infiltrating lobular mixed with other types of carcinoma,,,,,,,
8525/3,Rpt,Polymorphous low grade adenocarcinoma,,,,,,,
8525/3,Rpt,Terminal duct adenocarcinoma,,,,,,,
8530/3,Rpt,Inflammatory carcinoma,,,,,,,
8530/3,Rpt,Inflammatory adenocarcinoma,,,,,,,
8540/3,Rpt,"Paget disease, mammary",,,,,,,
8540/3,Rpt,Paget disease of breast,,,,,,,
8541/3,Rpt,Paget disease and infiltrating duct carcinoma of breast,,,,,,,
8542/2,Rpt,"Paget disease, extramammary, in situ",,,,,,,
8542/3,Rpt,"Paget disease, extramammary",,,,,,,
8543/2,Rpt,Paget disease and intraductal carcinoma in situ of breast,,,,,,,
8543/3,Rpt,Paget disease and intraductal carcinoma of breast,,,,,,,
8550/0,,Acinar cell adenoma,,,,,,,
8550/0,,Acinar adenoma,,,,,,,
8550/0,,Acinic cell adenoma,,,,,,,
8550/3,Rpt,Acinar cell carcinoma,,,,,,,
8550/3,Rpt,Acinic cell adenocarcinoma,,,,,,,
8550/3,Rpt,Acinar adenocarcinoma,,,,,,,
8550/3,Rpt,Acinar carcinoma,,,,,,,
8551/3,Rpt,Acinar cell cystadenocarcinoma,,,,,,,
8552/3,Rpt,Mixed acinar-ductal carcinoma Use code 8523/3 in 2015,,X,,,,,
8560/0,,Mixed squamous cell and glandular papilloma,,,,,,,
8560/3,Rpt,Adenosquamous carcinoma,,,,,,,
8560/3,Rpt,Mixed adenocarcinoma and squamous cell carcinoma,,,,,,,
8560/3,Rpt,Mixed adenocarcinoma and epidermoid carcinoma,,,,,,,
8561/0,,Adenolymphoma,,,,,,,
8561/0,,Papillary cystadenoma lymphomatosum,,,,,,,
8561/0,,Warthin tumor,,,,,,,
8562/3,Rpt,Epithelial-myoepithelial carcinoma,,,,,,,
8570/3,Rpt,Adenocarcinoma with squamous metaplasia,,,,,,,
8570/3,Rpt,Adenoacanthoma,,,,,,,
8571/3,Rpt,Adenocarcinoma with cartilaginous and osseous metaplasia,,,,,,,
8571/3,Rpt,Adenocarcinoma with cartilaginous metaplasia,,,,,,,
8571/3,Rpt,Adenocarcinoma with osseous metaplasia,,,,,,,
8572/3,Rpt,Adenocarcinoma with spindle cell metaplasia,,,,,,,
8573/3,Rpt,Adenocarcinoma with apocrine metaplasia,,,,,,,
8573/3,Rpt,Carcinoma with apocrine metaplasia,,,,,,,
8574/3,Rpt,Adenocarcinoma with neuroendocrine differentiation,,,,,,,
8574/3,Rpt,Carcinoma with neuroendocrine differentiation,,,,,,,
8575/3,Rpt,"Metaplastic carcinoma, NOS",,,,,,,
8576/3,Rpt,Hepatoid adenocarcinoma,,,,,,,
8576/3,Rpt,Hepatoid carcinoma,,,,,,,
8580/0,Rpt,"Thymoma, benign",,,,,,,
8580/1,Rpt,"Thymoma, NOS",,,,,,,
8580/3,Rpt,"Thymoma, malignant, NOS",,,,,,,
8581/1,Rpt,"Thymoma, type A, NOS",,,,,,,
8581/1,Rpt,"Thymoma, spindle cell, NOS",,,,,,,
8581/1,Rpt,"Thymoma, medullary, NOS",,,,,,,
8581/3,Rpt,"Thymoma, type A, malignant",,,,,,,
8581/3,Rpt,"Thymoma, spindle cell, malignant",,,,,,,
8581/3,Rpt,"Thymoma, medullary, malignant",,,,,,,
8582/1,Rpt,"Thymoma, type AB, NOS",,,,,,,
8582/1,Rpt,"Thymoma, mixed type, NOS",,,,,,,
8582/3,Rpt,"Thymoma, type AB, malignant",,,,,,,
8582/3,Rpt,"Thymoma, mixed type, malignant",,,,,,,
8583/1,Rpt,"Thymoma, type B1, NOS",,,,,,,
8583/1,Rpt,"Thymoma, lymphocyte-rich, NOS",,,,,,,
8583/1,Rpt,"Thymoma, lymphocytic, NOS",,,,,,,
8583/1,Rpt,"Thymoma, predominantly cortical, NOS",,,,,,,
8583/1,Rpt,"Thymoma, organoid, NOS",,,,,,,
8583/3,Rpt,"Thymoma, type B1, malignant",,,,,,,
8583/3,Rpt,"Thymoma, lymphocyte-rich, malignant",,,,,,,
8583/3,Rpt,"Thymoma, lymphocytic, malignant",,,,,,,
8583/3,Rpt,"Thymoma, predominantly cortical, malignant",,,,,,,
8583/3,Rpt,"Thymoma, organoid, malignant",,,,,,,
8584/1,Rpt,"Thymoma, type B2, NOS",,,,,,,
8584/1,Rpt,"Thymoma, cortical, NOS",,,,,,,
8584/3,Rpt,"Thymoma, type B2, malignant",,,,,,,
8584/3,Rpt,"Thymoma, cortical, malignant",,,,,,,
8585/1,Rpt,"Thymoma, type B3, NOS",,,,,,,
8585/1,Rpt,"Thymoma, epithelial, NOS",,,,,,,
8585/1,Rpt,"Thymoma, atypical, NOS",,,,,,,
8585/3,Rpt,"Thymoma, type B3, malignant",,,,,,,
8585/3,Rpt,"Thymoma, epithelial, malignant",,,,,,,
8585/3,Rpt,"Thymoma, atypical, malignant",,,,,,,
8585/3,Rpt,Well differentiated thymic carcinoma,,,,,,,
8586/3,Rpt,"Thymic carcinoma, NOS",,,,,,,
8586/3,Rpt,"Thymoma, type C",,,,,,,
8587/0,Rpt,Ectopic hamartomatous thymoma,,,,,,,
8588/3,Rpt,Spindle epithelial tumor with thymus-like element,,,,,,,
8588/3,Rpt,Spindle epithelial tumor with thymus-like differentiation,,,,,,,
8588/3,Rpt,SETTLE,,,,,,,
8589/3,Rpt,Carcinoma showing thymus-like element,,,,,,,
8589/3,Rpt,Carcinoma showing thymus-like differentiation,,,,,,,
8589/3,Rpt,CASTLE,,,,,,,
8590/1,,"Sex cord-gonadal stromal tumor, NOS",,,,,,,
8590/1,,"Gonadal stromal tumor, NOS",,,,,,,
8590/1,,Testicular stromal tumor,,,,,,,
8590/1,,Ovarian stromal tumor,,,,,,,
8590/1,,"Sex cord tumor, NOS",,,,,,,
8591/1,,"Sex cord-gonadal stromal tumor, incompletely differentiated",,,,,,,
8592/1,,"Sex cord-gonadal stromal tumor, mixed forms",,,,,,,
8593/1,,Stromal tumor with minor sex cord elements,,,,,,,
8600/0,,"Thecoma, NOS",,,,,,,
8600/0,,Theca cell tumor,,,,,,,
8600/3,Rpt,"Thecoma, malignant",,,,,,,
8601/0,,"Thecoma, luteinized",,,,,,,
8602/0,,Sclerosing stromal tumor,,,,,,,
8610/0,,"Luteoma, NOS",,,,,,,
8610/0,,Luteinoma,,,,,,,
8620/1,,"Granulosa cell tumor, adult type",,,,,,,
8620/1,,"Granulosa cell tumor, NOS",,,,,,,
8620/3,Rpt,"Granulosa cell tumor, malignant",,,,,,,
8620/3,Rpt,Granulosa cell carcinoma,,,,,,,
8620/3,Rpt,"Granulosa cell tumor, sarcomatoid",,,,,,,
8621/1,,Granulosa cell-theca cell tumor,,,,,,,
8621/1,,Theca cell-granulosa cell tumor,,,,,,,
8622/1,,"Granulosa cell tumor, juvenile",,,,,,,
8623/1,,Sex cord tumor with annular tubules,,,,,,,
8630/0,,"Androblastoma, benign",,,,,,,
8630/0,,"Arrhenoblastoma, benign",,,,,,,
8630/1,,"Androblastoma, NOS",,,,,,,
8630/1,,"Arrhenoblastoma, NOS",,,,,,,
8630/3,Rpt,"Androblastoma, malignant",,,,,,,
8630/3,Rpt,"Arrhenoblastoma, malignant",,,,,,,
8631/0,,"Sertoli-Leydig cell tumor, well differentiated",,,,,,,
8631/1,,Sertoli-Leydig cell tumor of intermediate differentiation,,,,,,,
8631/1,,"Sertoli-Leydig cell tumor, NOS",,,,,,,
8631/3,Rpt,"Sertoli-Leydig cell tumor, poorly differentiated",,,,,,,
8631/3,Rpt,"Sertoli-Leydig cell tumor, sarcomatoid",,,,,,,
8632/1,,Gynandroblastoma,,,,,,,
8633/1,,"Sertoli-Leydig cell tumor, retiform",,,,,,,
8634/1,,"Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements",,,,,,,
8634/1,,"Sertoli-Leydig cell tumor, retiform, with heterologous elements",,,,,,,
8634/3,Rpt,"Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements",,,,,,,
8640/1,,"Sertoli cell tumor, NOS",,,,,,,
8640/1,,Pick tubular adenoma,,,,,,,
8640/1,,Sertoli cell adenoma,,,,,,,
8640/1,,"Tubular androblastoma, NOS",,,,,,,
8640/1,,Testicular adenoma,,,,,,,
8640/3,Rpt,Sertoli cell carcinoma,,,,,,,
8641/0,,Sertoli cell tumor with lipid storage,,,,,,,
8641/0,,Folliculome lipidique,,,,,,,
8641/0,,Tubular androblastoma with lipid storage,,,,,,,
8641/0,,Lipid-rich Sertoli cell tumor,,,,,,,
8642/1,,Large cell calcifying Sertoli cell tumor,,,,,,,
8650/0,,"Leydig cell tumor, benign",,,,,,,
8650/0,,"Interstitial cell tumor, benign",,,,,,,
8650/1,,"Leydig cell tumor, NOS",,,,,,,
8650/1,,"Interstitial cell tumor, NOS",,,,,,,
8650/3,Rpt,"Leydig cell tumor, malignant",,,,,,,
8650/3,Rpt,"Interstitial cell tumor, malignant",,,,,,,
8660/0,,Hilus cell tumor,,,,,,,
8660/0,,Hilar cell tumor,,,,,,,
8670/0,,Lipid cell tumor of ovary,,,,,,,
8670/0,,Lipoid cell tumor of ovary,,,,,,,
8670/0,,"Steroid cell tumor, NOS",,,,,,,
8670/0,,Masculinovoblastoma,,,,,,,
8670/3,Rpt,"Steroid cell tumor, malignant",,,,,,,
8671/0,,Adrenal rest tumor,,,,,,,
8680/0,,"Paraganglioma, benign",,,,,,,
8680/1,,"Paraganglioma, NOS",,,,,,,
8680/3,Rpt,"Paraganglioma, malignant",,,,,,,
8681/1,,Sympathetic paraganglioma,,,,,,,
8682/1,,Parasympathetic paraganglioma,,,,,,,
8683/0,,Gangliocytic paraganglioma,,,,,,,
8690/1,,"Glomus jugulare tumor, NOS",,,,,,,
8690/1,,Jugular paraganglioma,,,,,,,
8690/1,,Jugulotympanic paraganglioma,,,,,,,
8691/1,,Aortic body tumor,,,,,,,
8691/1,,Aortic body paraganglioma,,,,,,,
8691/1,,Aorticopulmonary paraganglioma,,,,,,,
8692/1,,Carotid body tumor,,,,,,,
8692/1,,Carotid body paraganglioma,,,,,,,
8693/1,,"Extra-adrenal paraganglioma, NOS",,,,,,,
8693/1,,"Nonchromaffin paraganglioma, NOS",,,,,,,
8693/1,,Chemodectoma,,,,,,,
8693/3,Rpt,"Extra-adrenal paraganglioma, malignant",,,,,,,
8693/3,Rpt,"Nonchromaffin paraganglioma, malignant",,,,,,,
8700/0,,"Pheochromocytoma, NOS",,,,,,,
8700/0,,Adrenal medullary paraganglioma,,,,,,,
8700/0,,Chromaffin paraganglioma,,,,,,,
8700/0,,Chromaffin tumor,,,,,,,
8700/0,,Chromaffinoma,,,,,,,
8700/3,Rpt,"Pheochromocytoma, malignant",,,,,,,
8700/3,Rpt,"Adrenal medullary paraganglioma, malignant",,,,,,,
8700/3,Rpt,Pheochromoblastoma,,,,,,,
8710/3,Rpt,Glomangiosarcoma,,,,,,,
8710/3,Rpt,Glomoid sarcoma,,,,,,,
8711/0,,"Glomus tumor, NOS",,,,,,,
8711/3,Rpt,"Glomus tumor, malignant",,,,,,,
8712/0,,Glomangioma,,,,,,,
8713/0,,Glomangiomyoma,,,,,,,
8720/0,,"Pigmented nevus, NOS",,,,,,,
8720/0,,"Nevus, NOS",,,,,,,
8720/0,,Melanocytic nevus,,,,,,,
8720/0,,Hairy nevus,,,,,,,
8720/2,Rpt,Melanoma in situ,,,,,,,
8720/3,Rpt,"Malignant melanoma, NOS",,,,,,,
8720/3,Rpt,"Melanoma, NOS",,,,,,,
8721/3,Rpt,Nodular melanoma,,,,,,,
8722/0,,Balloon cell nevus,,,,,,,
8722/3,Rpt,Balloon cell melanoma,,,,,,,
8723/0,,Halo nevus,,,,,,,
8723/0,,Regressing nevus,,,,,,,
8723/3,Rpt,"Malignant melanoma, regressing",,,,,,,
8725/0,,Neuronevus,,,,,,,
8726/0,,Magnocellular nevus,,,,,,,
8726/0,,"Melanocytoma, eyeball",,,,,,,
8726/0,,"Melanocytoma, NOS",,,,,,,
8727/0,,Dysplastic nevus,,,,,,,
8728/0,,Diffuse melanocytosis,,,,,,,
8728/1,,Meningeal melanocytoma,,,,,,,
8728/3,Rpt,Meningeal melanomatosis,,,,,,,
8730/0,,Nonpigmented nevus,,,,,,,
8730/0,,Achromic nevus,,,,,,,
8730/3,Rpt,Amelanotic melanoma,,,,,,,
8740/0,,"Junctional nevus, NOS",,,,,,,
8740/0,,Junction nevus,,,,,,,
8740/0,,Intraepidermal nevus,,,,,,,
8740/3,Rpt,Malignant melanoma in junctional nevus,,,,,,,
8741/2,Rpt,"Precancerous melanosis, NOS",,,,,,,
8741/3,Rpt,Malignant melanoma in precancerous melanosis,,,,,,,
8742/2,Rpt,Lentigo maligna,,,,,,,
8742/2,Rpt,"Hutchinson melanotic freckle, NOS",,,,,,,
8742/3,Rpt,Lentigo maligna melanoma,,,,,,,
8742/3,Rpt,Malignant melanoma in Hutchinson melanotic freckle,,,,,,,
8743/3,Rpt,Superficial spreading melanoma,,,,,,,
8744/3,Rpt,"Acral lentiginous melanoma, malignant",,,,,,,
8745/3,Rpt,"Desmoplastic melanoma, malignant",,,,,,,
8745/3,Rpt,"Neurotropic melanoma, malignant",,,,,,,
8745/3,Rpt,"Desmoplastic melanoma, amelanotic",,,,,,,
8746/3,Rpt,Mucosal lentiginous melanoma,,,,,,,
8750/0,,Intradermal nevus,,,,,,,
8750/0,,Dermal nevus,,,,,,,
8760/0,,Compound nevus,,,,,,,
8760/0,,Dermal and epidermal nevus,,,,,,,
8761/0,,Small congenital nevus,,,,,,,
8761/1,,"Giant pigmented nevus, NOS",,,,,,,
8761/1,,Intermediate and giant congenital nevus,,,,,,,
8761/3,Rpt,Malignant melanoma in giant pigmented nevus,,,,,,,
8761/3,Rpt,Malignant melanoma in congenital melanocytic nevus,,,,,,,
8762/1,,Proliferative dermal lesion in congenital nevus,,,,,,,
8770/0,,Epithelioid and spindle cell nevus,,,,,,,
8770/0,,Juvenile nevus,,,,,,,
8770/0,,Juvenile melanoma,,,,,,,
8770/0,,Spitz nevus,,,,,,,
8770/0,,Pigmented spindle cell nevus of Reed,,,,,,,
8770/3,Rpt,Mixed epithelioid and spindle cell melanoma,,,,,,,
8771/0,,Epithelioid cell nevus,,,,,,,
8771/3,Rpt,Epithelioid cell melanoma,,,,,,,
8772/0,,"Spindle cell nevus, NOS",,,,,,,
8772/3,Rpt,"Spindle cell melanoma, NOS",,,,,,,
8773/3,Rpt,"Spindle cell melanoma, type A",,,,,,,
8774/3,Rpt,"Spindle cell melanoma, type B",,,,,,,
8780/0,,"Blue nevus, NOS",,,,,,,
8780/0,,Jadassohn blue nevus,,,,,,,
8780/3,Rpt,"Blue nevus, malignant",,,,,,,
8790/0,,Cellular blue nevus,,,,,,,
8800/0,,"Soft tissue tumor, benign",,,,,,,
8800/3,Rpt,"Sarcoma, NOS",,,,,,,
8800/3,Rpt,Soft tissue sarcoma,,,,,,,
8800/3,Rpt,"Soft tissue tumor, malignant",,,,,,,
8800/3,Rpt,"Mesenchymal tumor, malignant",,,,,,,
8800/9,Rpt,"Sarcomatosis, NOS",,,,,,,
8801/3,Rpt,Spindle cell sarcoma,,,,,,,
8802/3,Rpt,Giant cell sarcoma,,,,,,,
8802/3,Rpt,Pleomorphic cell sarcoma,,,,,,,
8803/3,Rpt,Small cell sarcoma,,,,,,,
8803/3,Rpt,Round cell sarcoma,,,,,,,
8804/3,Rpt,Epithelioid sarcoma,,,,,,,
8804/3,Rpt,Epithelioid cell sarcoma,,,,,,,
8805/3,Rpt,Undifferentiated sarcoma,,,,,,,
8806/3,Rpt,Desmoplastic small round cell tumor,,,,,,,
8810/0,,"Fibroma, NOS",,,,,,,
8810/1,,Cellular fibroma,,,,,,,
8810/3,Rpt,"Fibrosarcoma, NOS",,,,,,,
8811/0,,Fibromyxoma,,,,,,,
8811/0,,Myxoid fibroma,,,,,,,
8811/0,,"Myxofibroma, NOS",,,,,,,
8811/0,,Plexiform fibromyxoma,,,,,,,
8811/3,Rpt,Fibromyxosarcoma,,,,,,,
8812/0,,Periosteal fibroma,,,,,,,
8812/3,Rpt,Periosteal fibrosarcoma,,,,,,,
8812/3,Rpt,"Periosteal sarcoma, NOS",,,,,,,
8813/0,,Fascial fibroma,,,,,,,
8813/3,Rpt,Fascial fibrosarcoma,,,,,,,
8814/3,Rpt,Infantile fibrosarcoma,,,,,,,
8814/3,Rpt,Congenital fibrosarcoma,,,,,,,
8815/0,,Solitary fibrous tumor,,,,,,,
8815/0,,Localized fibrous tumor,,,,,,,
8815/3,Rpt,"Solitary fibrous tumor, malignant",,,,,,,
8820/0,,Elastofibroma,,,,,,,
8821/1,,Aggressive fibromatosis,,,,,,,
8821/1,,Extra-abdominal desmoid,,,,,,,
8821/1,,"Desmoid, NOS",,,,,,,
8821/1,,Invasive fibroma,,,,,,,
8822/1,,Abdominal fibromatosis,,,,,,,
8822/1,,Abdominal desmoid,,,,,,,
8822/1,,Mesenteric fibromatosis,,,,,,,
8822/1,,Retroperitoneal fibromatosis,,,,,,,
8823/0,,Desmoplastic fibroma,,,,,,,
8824/0,,Myofibroma,,,,,,,
8824/1,,Myofibromatosis,,,,,,,
8824/1,,Congenital generalized fibromatosis,,,,,,,
8824/1,,Infantile myofibromatosis,,,,,,,
8825/0,,Myofibroblastoma,,,,,,,
8825/1,,"Myofibroblastic tumor, NOS",,,,,,,
8825/1,,Inflammatory myofibroblastic tumor,,,,,,,
8826/0,,Angiomyofibroblastoma,,,,,,,
8827/1,,"Myofibroblastic tumor, peribronchial",,,,,,,
8827/1,,Congenital peribronchial myofibroblastic tumor,,,,,,,
8830/0,,Benign fibrous histiocytoma,,,,,,,
8830/0,,"Fibrous histiocytoma, NOS",,,,,,,
8830/0,,"Fibroxanthoma, NOS",,,,,,,
8830/0,,Xanthofibroma,,,,,,,
8830/1,,Atypical fibrous histiocytoma,,,,,,,
8830/1,,Atypical fibroxanthoma,,,,,,,
8830/3,Rpt,Malignant fibrous histiocytoma,,,,,,,
8830/3,Rpt,"Fibroxanthoma, malignant",,,,,,,
8831/0,,"Histiocytoma, NOS",,,,,,,
8831/0,,Deep histiocytoma,,,,,,,
8831/0,,Juvenile histiocytoma,,,,,,,
8831/0,,Reticulohistiocytoma,,,,,,,
8832/0,,"Dermatofibroma, NOS",,,,,,,
8832/0,,Sclerosing hemangioma,,,,,,,
8832/0,,"Cutaneous histiocytoma, NOS",,,,,,,
8832/0,,Subepidermal nodular fibrosis,,,,,,,
8832/0,,Dermatofibroma lenticulare,,,,,,,
8832/3,Rpt,"Dermatofibrosarcoma, NOS",,,,,,,
8832/3,Rpt,"Dermatofibrosarcoma protuberans, NOS",,,,,,,
8833/3,Rpt,Pigmented dermatofibrosarcoma protuberans,,,,,,,
8833/3,Rpt,Bednar tumor,,,,,,,
8834/1,,Giant cell fibroblastoma,,,,,,,
8835/1,,Plexiform fibrohistiocytic tumor,,,,,,,
8836/1,,Angiomatoid fibrous histiocytoma,,,,,,,
8840/0,,"Myxoma, NOS",,,,,,,
8840/3,Rpt,Myxosarcoma,,,,,,,
8841/1,,Angiomyxoma,,,,,,,
8841/1,,Aggressive angiomyxoma,,,,,,,
8842/0,,Ossifying fibromyxoid tumor,,,,,,,
8850/0,,"Lipoma, NOS",,,,,,,
8850/1,,Atypical lipoma,,,,,,,
8850/1,,Superficial well differentated liposarcoma,,,,,,,
8850/1,,Well differentiated liposarcoma of superficial soft tissue,,,,,,,
8850/3,Rpt,"Liposarcoma, NOS",,,,,,,
8850/3,Rpt,Fibroliposarcoma,,,,,,,
8851/0,,Fibrolipoma,,,,,,,
8851/3,Rpt,"Liposarcoma, well differentiated",,,,,,,
8851/3,Rpt,"Liposarcoma, differentiated",,,,,,,
8851/3,Rpt,Lipoma-like liposarcoma,,,,,,,
8851/3,Rpt,Sclerosing liposarcoma,,,,,,,
8851/3,Rpt,Inflammatory liposarcoma,,,,,,,
8852/0,,Fibromyxolipoma,,,,,,,
8852/0,,Myxolipoma,,,,,,,
8852/3,Rpt,Myxoid liposarcoma,,,,,,,
8852/3,Rpt,Myxoliposarcoma,,,,,,,
8853/3,Rpt,Round cell liposarcoma,,,,,,,
8854/0,,Pleomorphic lipoma,,,,,,,
8854/3,Rpt,Pleomorphic liposarcoma,,,,,,,
8855/3,Rpt,Mixed liposarcoma,,,,,,,
8856/0,,Intramuscular lipoma,,,,,,,
8856/0,,Infiltrating lipoma,,,,,,,
8856/0,,Infiltrating angiolipoma,,,,,,,
8857/0,,Spindle cell lipoma,,,,,,,
8857/3,Rpt,Fibroblastic liposarcoma,,,,,,,
8858/3,Rpt,Dedifferentiated liposarcoma,,,,,,,
8860/0,,Angiomyolipoma,,,,,,,
8861/0,,"Angiolipoma, NOS",,,,,,,
8862/0,,Chondroid lipoma,,,,,,,
8870/0,,Myelolipoma,,,,,,,
8880/0,,Hibernoma,,,,,,,
8880/0,,Fetal fat cell lipoma,,,,,,,
8880/0,,Brown fat tumor,,,,,,,
8881/0,,Lipoblastomatosis,,,,,,,
8881/0,,"Fetal lipoma, NOS",,,,,,,
8881/0,,Fetal lipomatosis,,,,,,,
8881/0,,Lipoblastoma,,,,,,,
8890/0,,"Leiomyoma, NOS",,,,,,,
8890/0,,Fibroid uterus,,,,,,,
8890/0,,Fibromyoma,,,,,,,
8890/0,,Leiomyofibroma,,,,,,,
8890/0,,Plexiform leiomyoma,,,,,,,
8890/0,,Lipoleiomyoma,,,,,,,
8890/1,,"Leiomyomatosis, NOS",,,,,,,
8890/1,,Intravascular leiomyomatosis,,,,,,,
8890/3,Rpt,"Leiomyosarcoma, NOS",,,,,,,
8891/0,,Epithelioid leiomyoma,,,,,,,
8891/0,,Leiomyoblastoma,,,,,,,
8891/3,Rpt,Epithelioid leiomyosarcoma,,,,,,,
8892/0,,Cellular leiomyoma,,,,,,,
8893/0,,Bizarre leiomyoma,,,,,,,
8893/0,,Symplastic leiomyoma,,,,,,,
8893/0,,Atypical leiomyoma,,,,,,,
8893/0,,Pleomorphic leiomyoma,,,,,,,
8894/0,,Angiomyoma,,,,,,,
8894/0,,Vascular leiomyoma,,,,,,,
8894/0,,Angioleiomyoma,,,,,,,
8894/3,Rpt,Angiomyosarcoma,,,,,,,
8895/0,,Myoma,,,,,,,
8895/3,Rpt,Myosarcoma,,,,,,,
8896/3,Rpt,Myxoid leiomyosarcoma,,,,,,,
8897/1,,Smooth muscle tumor of uncertain malignant potential,,,,,,,
8897/1,,"Smooth muscle tumor, NOS",,,,,,,
8898/1,,Metastasizing leiomyoma,,,,,,,
8900/0,,"Rhabdomyoma, NOS",,,,,,,
8900/3,Rpt,"Rhabdomyosarcoma, NOS",,,,,,,
8900/3,Rpt,Rhabdosarcoma,,,,,,,
8901/3,Rpt,"Pleomorphic rhabdomyosarcoma, adult type",,,,,,,
8901/3,Rpt,"Pleomorphic rhabdomyosarcoma, NOS",,,,,,,
8902/3,Rpt,Mixed type rhabdomyosarcoma,,,,,,,
8902/3,Rpt,Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma,,,,,,,
8903/0,,Fetal rhabdomyoma,,,,,,,
8904/0,,Adult rhabdomyoma,,,,,,,
8904/0,,Glycogenic rhabdomyoma,,,,,,,
8905/0,,Genital rhabdomyoma,,,,,,,
8910/3,Rpt,"Embryonal rhabdomyosarcoma, NOS",,,,,,,
8910/3,Rpt,"Embryonal rhabdomyosarcoma, pleomorphic",,,,,,,
8910/3,Rpt,Sarcoma botryoides,,,,,,,
8910/3,Rpt,Botryoid sarcoma,,,,,,,
8912/3,Rpt,Spindle cell rhabdomyosarcoma,,,,,,,
8920/3,Rpt,Alveolar rhabdomyosarcoma,,,,,,,
8921/3,Rpt,Rhabdomyosarcoma with ganglionic differentiation,,,,,,,
8921/3,Rpt,Ectomesenchymoma,,,,,,,
8930/0,,Endometrial stromal nodule,,,,,,,
8930/3,Rpt,"Endometrial stromal sarcoma, NOS",,,,,,,
8930/3,Rpt,"Endometrial sarcoma, NOS",,,,,,,
8930/3,Rpt,"Endometrial stromal sarcoma, high grade",,,,,,,
8931/3,Rpt,"Endometrial stromal sarcoma, low grade",,,,,,,
8931/3,Rpt,Endolymphatic stromal myosis,,,,,,,
8931/3,Rpt,Endometrial stromatosis,,,,,,,
8931/3,Rpt,Stromal endometriosis,,,,,,,
8931/3,Rpt,"Stromal myosis, NOS",,,,,,,
8932/0,,Adenomyoma,,,,,,,
8932/0,,Atypical polypoid adenomyoma,,,,,,,
8933/3,Rpt,Adenosarcoma,,,,,,,
8934/3,Rpt,Carcinofibroma,,,,,,,
8935/0,,"Stromal tumor, benign",,,,,,,
8935/1,,"Stromal tumor, NOS",,,,,,,
8935/3,Rpt,"Stromal sarcoma, NOS",,,,,,,
8936/0,Rpt,"Gastrointestinal stromal tumor, benign",,,,,,,
8936/0,Rpt,"GIST, benign",,,,,,,
8936/1,Rpt,"Gastrointestinal stromal tumor, NOS",,,,,,,
8936/1,Rpt,"GIST, NOS",,,,,,,
8936/1,Rpt,"Gastrointestinal stromal tumor, uncertain malignant potential",,,,,,,
8936/1,Rpt,Gastrointestinal autonomic nerve tumor,,,,,,,
8936/1,Rpt,GANT,,,,,,,
8936/1,Rpt,Gastrointestinal pacemaker cell tumor,,,,,,,
8936/3,Rpt,Gastrointestinal stromal sarcoma,,,,,,,
8936/3,Rpt,"Gastrointestinal stromal tumor, malignant",,,,,,,
8936/3,Rpt,"GIST, malignant",,,,,,,
8940/0,,Pleomorphic adenoma,,,,,,,
8940/0,,"Mixed tumor, NOS",,,,,,,
8940/0,,"Mixed tumor, salivary gland type, NOS",,,,,,,
8940/0,,Chondroid syringoma,,,,,,,
8940/3,Rpt,"Mixed tumor, malignant, NOS",,,,,,,
8940/3,Rpt,"Mixed tumor, salivary gland type, malignant",,,,,,,
