diagnosis_name,icdo3_code,synonym_name
"histiocytoma, nos",8831/0,histiocytoma
"dermatofibroma, nos",8832/0,sclerosing hemangioma
"dermatofibroma, nos",8832/0,"cutaneous histiocytoma, nos"
"dermatofibroma, nos",8832/0,subepidermal nodular fibrosis
"dermatofibroma, nos",8832/0,dermatofibroma lenticulare
"dermatofibroma, nos",8832/0,dermatofibroma
"dermatofibroma, nos",8832/0,cutaneous histiocytoma
"dermatofibrosarcoma, nos",8832/3,"dermatofibrosarcoma protuberans, nos"
"dermatofibrosarcoma, nos",8832/3,dermatofibrosarcoma
"dermatofibrosarcoma, nos",8832/3,dermatofibrosarcoma protuberans
pigmented dermatofibrosarcoma protuberans,8833/3,bednar tumor
"myxoma, nos",8840/0,myxoma
angiomyxoma,8841/1,aggressive angiomyxoma
"lipoma, nos",8850/0,lipoma
atypical lipoma/j,8850/1,superficial well differentated liposarcoma
atypical lipoma/j,8850/1,well differentiated liposarcoma of superficial soft tissue
"liposarcoma, nos",8850/3,fibroliposarcoma
"liposarcoma, nos",8850/3,liposarcoma
"gastrointestinal stromal tumor, benign",8936/0,"gist, benign"
"gastrointestinal stromal tumor, benign",8936/0,benign gastrointestinal stromal tumor
"gastrointestinal stromal tumor, benign",8936/0,gastrointestinal stromal tumor benign
"gastrointestinal stromal tumor, benign",8936/0,benign gist
"gastrointestinal stromal tumor, benign",8936/0,gist benign
"gastrointestinal stromal tumor, nos",8936/1,"gist, nos"
"gastrointestinal stromal tumor, nos",8936/1,"gastrointestinal stromal tumor, uncertain malignant potential"
"gastrointestinal stromal tumor, nos",8936/1,gastrointestinal autonomic nerve tumor
"gastrointestinal stromal tumor, nos",8936/1,gant
"gastrointestinal stromal tumor, nos",8936/1,gastrointestinal pacemaker cell tumor
"gastrointestinal stromal tumor, nos",8936/1,gastrointestinal stromal tumor
"gastrointestinal stromal tumor, nos",8936/1,gist
"gastrointestinal stromal tumor, nos",8936/1,uncertain malignant potential gastrointestinal stromal tumor
"gastrointestinal stromal tumor, nos",8936/1,gastrointestinal stromal tumor uncertain malignant potential
gastrointestinal stromal sarcoma,8936/3,"gastrointestinal stromal tumor, malignant"
gastrointestinal stromal sarcoma,8936/3,"gist, malignant"
gastrointestinal stromal sarcoma,8936/3,malignant gastrointestinal stromal tumor
gastrointestinal stromal sarcoma,8936/3,gastrointestinal stromal tumor malignant
gastrointestinal stromal sarcoma,8936/3,malignant gist
gastrointestinal stromal sarcoma,8936/3,gist malignant
pleomorphic adenoma,8940/0,"mixed tumor, nos"
pleomorphic adenoma,8940/0,"mixed tumor, salivary gland type, nos"
pleomorphic adenoma,8940/0,chondroid syringoma
pleomorphic adenoma,8940/0,mixed tumor
pleomorphic adenoma,8940/0,salivary gland type mixed tumor
pleomorphic adenoma,8940/0,mixed tumor salivary gland type
"mixed tumor, malignant, nos",8940/3,"mixed tumor, salivary gland type, malignant"
"mixed tumor, malignant, nos",8940/3,malignant chondroid syringoma
"mixed tumor, malignant, nos",8940/3,malignant mixed tumor
"mixed tumor, malignant, nos",8940/3,mixed tumor malignant
"mixed tumor, malignant, nos",8940/3,malignant salivary gland type mixed tumor
"mixed tumor, malignant, nos",8940/3,mixed tumor salivary gland type malignant
malignant cystic nephroma,8959/3,malignant multilocular cystic nephroma
"nephroblastoma, nos",8960/3,wilms tumor
"nephroblastoma, nos",8960/3,"nephroma, nos"
"nephroblastoma, nos",8960/3,nephroblastoma
"nephroblastoma, nos",8960/3,nephroma
malignant rhabdoid tumor,8963/3,rhabdoid sarcoma
malignant rhabdoid tumor,8963/3,"rhabdoid tumor, nos"
malignant rhabdoid tumor,8963/3,rhabdoid tumor
renomedullary interstitial cell tumor,8966/0,renomedullary fibroma
hepatoblastoma,8970/3,embryonal hepatoma
pulmonary blastoma,8972/3,pneumoblastoma
"carcinosarcoma, nos",8980/3,carcinosarcoma
"carcinosarcoma, embryonal",8981/3,embryonal carcinosarcoma
"carcinosarcoma, embryonal",8981/3,carcinosarcoma embryonal
myoepithelioma,8982/0,myoepithelial tumor
myoepithelioma,8982/0,myoepithelial adenoma
malignant myoepithelioma,8982/3,myoepithelial carcinoma
"mesenchymoma, benign",8990/0,benign mesenchymoma
"mesenchymoma, benign",8990/0,mesenchymoma benign
"mesenchymoma, nos",8990/1,mixed mesenchymal tumor
"mesenchymoma, nos",8990/1,mesenchymoma
"mesenchymoma, malignant",8990/3,mixed mesenchymal sarcoma
"mesenchymoma, malignant",8990/3,malignant mesenchymoma
"mesenchymoma, malignant",8990/3,mesenchymoma malignant
"brenner tumor, nos",9000/0,brenner tumor
"brenner tumor, borderline malignancy",9000/1,"brenner tumor, proliferating"
"brenner tumor, borderline malignancy",9000/1,borderline malignancy brenner tumor
"brenner tumor, borderline malignancy",9000/1,brenner tumor borderline malignancy
"brenner tumor, borderline malignancy",9000/1,proliferating brenner tumor
"brenner tumor, borderline malignancy",9000/1,brenner tumor proliferating
"brenner tumor, malignant",9000/3,malignant brenner tumor
"brenner tumor, malignant",9000/3,brenner tumor malignant
"fibroadenoma, nos",9010/0,fibroadenoma
"adenofibroma, nos",9013/0,"cystadenofibroma, nos"
"adenofibroma, nos",9013/0,papillary adenofibroma
"adenofibroma, nos",9013/0,adenofibroma
"adenofibroma, nos",9013/0,cystadenofibroma
"serous adenofibroma, nos",9014/0,"serous cystadenofibroma, nos"
"serous adenofibroma, nos",9014/0,serous adenofibroma
"serous adenofibroma, nos",9014/0,serous cystadenofibroma
serous adenofibroma of borderline malignancy,9014/1,serous cystadenofibroma of borderline malignancy
serous adenocarcinofibroma,9014/3,malignant serous adenofibroma
serous adenocarcinofibroma,9014/3,serous cystadenocarcinofibroma
serous adenocarcinofibroma,9014/3,malignant serous cystadenofibroma
"mucinous adenofibroma, nos",9015/0,"mucinous cystadenofibroma, nos"
"mucinous adenofibroma, nos",9015/0,mucinous adenofibroma
"mucinous adenofibroma, nos",9015/0,mucinous cystadenofibroma
mucinous adenofibroma of borderline malignancy,9015/1,mucinous cystadenofibroma of borderline malignancy
mucinous adenocarcinofibroma,9015/3,malignant mucinous adenofibroma
mucinous adenocarcinofibroma,9015/3,mucinous cystadenocarcinofibroma
mucinous adenocarcinofibroma,9015/3,malignant mucinous cystadenofibroma
"phyllodes tumor, benign",9020/0,"cystosarcoma phyllodes, benign"
"phyllodes tumor, benign",9020/0,benign phyllodes tumor
"phyllodes tumor, benign",9020/0,phyllodes tumor benign
"phyllodes tumor, benign",9020/0,benign cystosarcoma phyllodes
"phyllodes tumor, benign",9020/0,cystosarcoma phyllodes benign
"phyllodes tumor, borderline",9020/1,"cystosarcoma phyllodes, nos"
"phyllodes tumor, borderline",9020/1,"phyllodes tumor, nos"
"phyllodes tumor, borderline",9020/1,borderline phyllodes tumor
"phyllodes tumor, borderline",9020/1,phyllodes tumor borderline
"phyllodes tumor, borderline",9020/1,cystosarcoma phyllodes
"phyllodes tumor, borderline",9020/1,phyllodes tumor
"phyllodes tumor, malignant",9020/3,"cystosarcoma phyllodes, malignant"
"phyllodes tumor, malignant",9020/3,malignant phyllodes tumor
"phyllodes tumor, malignant",9020/3,phyllodes tumor malignant
"phyllodes tumor, malignant",9020/3,malignant cystosarcoma phyllodes
"phyllodes tumor, malignant",9020/3,cystosarcoma phyllodes malignant
"synovioma, benign",9040/0,benign synovioma
"synovioma, benign",9040/0,synovioma benign
"synovial sarcoma, nos",9040/3,"synovioma, nos"
"synovial sarcoma, nos",9040/3,"synovioma, malignant"
"synovial sarcoma, nos",9040/3,synovial sarcoma
"synovial sarcoma, nos",9040/3,synovioma
"synovial sarcoma, nos",9040/3,malignant synovioma
"synovial sarcoma, nos",9040/3,synovioma malignant
"synovial sarcoma, spindle cell",9041/3,"synovial sarcoma, monophasic fibrous"
"synovial sarcoma, spindle cell",9041/3,spindle cell synovial sarcoma
"synovial sarcoma, spindle cell",9041/3,synovial sarcoma spindle cell
"synovial sarcoma, spindle cell",9041/3,monophasic fibrous synovial sarcoma
"synovial sarcoma, spindle cell",9041/3,synovial sarcoma monophasic fibrous
"synovial sarcoma, epithelioid cell",9042/3,epithelioid cell synovial sarcoma
"synovial sarcoma, epithelioid cell",9042/3,synovial sarcoma epithelioid cell
"synovial sarcoma, biphasic",9043/3,biphasic synovial sarcoma
"synovial sarcoma, biphasic",9043/3,synovial sarcoma biphasic
"clear cell sarcoma, nos",9044/3,"clear cell sarcoma, of tendons and aponeuroses"
"clear cell sarcoma, nos",9044/3,"melanoma, malignant, of soft parts"
"clear cell sarcoma, nos",9044/3,clear cell sarcoma
"clear cell sarcoma, nos",9044/3,of tendons and aponeuroses clear cell sarcoma
"clear cell sarcoma, nos",9044/3,clear cell sarcoma of tendons and aponeuroses
"clear cell sarcoma, nos",9044/3,of soft parts malignant melanoma
"clear cell sarcoma, nos",9044/3,melanoma malignant of soft parts
"mesothelioma, benign",9050/0,benign mesothelioma
"mesothelioma, benign",9050/0,mesothelioma benign
"mesothelioma, malignant",9050/3,"mesothelioma, nos"
"mesothelioma, malignant",9050/3,malignant mesothelioma
"mesothelioma, malignant",9050/3,mesothelioma malignant
"mesothelioma, malignant",9050/3,mesothelioma
"fibrous mesothelioma, benign",9051/0,benign fibrous mesothelioma
"fibrous mesothelioma, benign",9051/0,fibrous mesothelioma benign
"fibrous mesothelioma, malignant",9051/3,"fibrous mesothelioma, nos"
"fibrous mesothelioma, malignant",9051/3,spindled mesothelioma
"fibrous mesothelioma, malignant",9051/3,sarcomatoid mesothelioma
"fibrous mesothelioma, malignant",9051/3,desmoplastic mesothelioma
"fibrous mesothelioma, malignant",9051/3,malignant fibrous mesothelioma
"fibrous mesothelioma, malignant",9051/3,fibrous mesothelioma malignant
"fibrous mesothelioma, malignant",9051/3,fibrous mesothelioma
"epithelioid mesothelioma, benign",9052/0,"well differentiated papillary mesothelioma, benign"
"epithelioid mesothelioma, benign",9052/0,mesothelial papilloma
"epithelioid mesothelioma, benign",9052/0,benign epithelioid mesothelioma
"epithelioid mesothelioma, benign",9052/0,epithelioid mesothelioma benign
"epithelioid mesothelioma, benign",9052/0,benign well differentiated papillary mesothelioma
"epithelioid mesothelioma, benign",9052/0,well differentiated papillary mesothelioma benign
"epithelioid mesothelioma, malignant",9052/3,"epithelioid mesothelioma, nos"
"epithelioid mesothelioma, malignant",9052/3,malignant epithelioid mesothelioma
"epithelioid mesothelioma, malignant",9052/3,epithelioid mesothelioma malignant
"epithelioid mesothelioma, malignant",9052/3,epithelioid mesothelioma
"mesothelioma, biphasic, malignant",9053/3,"mesothelioma, biphasic, nos"
"mesothelioma, biphasic, malignant",9053/3,malignant biphasic mesothelioma
"mesothelioma, biphasic, malignant",9053/3,mesothelioma biphasic malignant
"mesothelioma, biphasic, malignant",9053/3,biphasic mesothelioma
"mesothelioma, biphasic, malignant",9053/3,mesothelioma biphasic
"adenomatoid tumor, nos",9054/0,adenomatoid tumor
"multicystic mesothelioma, benign",9055/0,"cystic mesothelioma, benign"
"multicystic mesothelioma, benign",9055/0,benign multicystic mesothelioma
"multicystic mesothelioma, benign",9055/0,multicystic mesothelioma benign
"multicystic mesothelioma, benign",9055/0,benign cystic mesothelioma
"multicystic mesothelioma, benign",9055/0,cystic mesothelioma benign
"cystic mesothelioma, nos",9055/1,cystic mesothelioma
"seminoma, nos",9061/3,seminoma
"seminoma, anaplastic",9062/3,seminoma with high mitotic index
"seminoma, anaplastic",9062/3,anaplastic seminoma
"seminoma, anaplastic",9062/3,seminoma anaplastic
spermatocytic seminoma,9063/3,spermatocytoma
intratubular malignant germ cells,9064/2,intratubular germ cell neoplasia
germinoma,9064/3,"germ cell tumor, nos"
germinoma,9064/3,germ cell tumor
"germ cell tumor, nonseminomatous",9065/3,nonseminomatous germ cell tumor
"germ cell tumor, nonseminomatous",9065/3,germ cell tumor nonseminomatous
"embryonal carcinoma, nos",9070/3,embryonal adenocarcinoma
"embryonal carcinoma, nos",9070/3,embryonal carcinoma
yolk sac tumor,9071/3,endodermal sinus tumor
yolk sac tumor,9071/3,polyvesicular vitelline tumor
yolk sac tumor,9071/3,orchioblastoma
yolk sac tumor,9071/3,"embryonal carcinoma, infantile"
yolk sac tumor,9071/3,hepatoid yolk sac tumor
yolk sac tumor,9071/3,infantile embryonal carcinoma
yolk sac tumor,9071/3,embryonal carcinoma infantile
polyembryoma,9072/3,"embryonal carcinoma, polyembryonal type"
polyembryoma,9072/3,polyembryonal type embryonal carcinoma
polyembryoma,9072/3,embryonal carcinoma polyembryonal type
gonadoblastoma,9073/1,gonocytoma
"teratoma, benign",9080/0,adult cystic teratoma
"teratoma, benign",9080/0,"adult teratoma, nos"
"teratoma, benign",9080/0,"cystic teratoma, nos"
"teratoma, benign",9080/0,"teratoma, differentiated"
"teratoma, benign",9080/0,mature teratoma
"teratoma, benign",9080/0,benign teratoma
"teratoma, benign",9080/0,teratoma benign
"teratoma, benign",9080/0,adult teratoma
"teratoma, benign",9080/0,cystic teratoma
"teratoma, benign",9080/0,differentiated teratoma
"teratoma, benign",9080/0,teratoma differentiated
"teratoma, nos",9080/1,solid teratoma
"teratoma, nos",9080/1,teratoma
"teratoma, malignant, nos",9080/3,embryonal teratoma
"teratoma, malignant, nos",9080/3,"teratoblastoma, malignant"
"teratoma, malignant, nos",9080/3,"immature teratoma, malignant"
"teratoma, malignant, nos",9080/3,"immature teratoma, nos"
"teratoma, malignant, nos",9080/3,malignant teratoma
"teratoma, malignant, nos",9080/3,teratoma malignant
"teratoma, malignant, nos",9080/3,malignant teratoblastoma
"teratoma, malignant, nos",9080/3,teratoblastoma malignant
"teratoma, malignant, nos",9080/3,malignant immature teratoma
"teratoma, malignant, nos",9080/3,immature teratoma malignant
"teratoma, malignant, nos",9080/3,immature teratoma
teratocarcinoma,9081/3,mixed embryonal carcinoma and teratoma
"malignant teratoma, undifferentiated",9082/3,"malignant teratoma, anaplastic"
"malignant teratoma, undifferentiated",9082/3,undifferentiated malignant teratoma
"malignant teratoma, undifferentiated",9082/3,malignant teratoma undifferentiated
"malignant teratoma, undifferentiated",9082/3,anaplastic malignant teratoma
"malignant teratoma, undifferentiated",9082/3,malignant teratoma anaplastic
"malignant teratoma, intermediate",9083/3,intermediate malignant teratoma
"malignant teratoma, intermediate",9083/3,malignant teratoma intermediate
"dermoid cyst, nos",9084/0,"dermoid, nos"
"dermoid cyst, nos",9084/0,dermoid cyst
"dermoid cyst, nos",9084/0,dermoid
teratoma with malignant transformation,9084/3,dermoid cyst with malignant transformation
teratoma with malignant transformation,9084/3,dermoid cyst with secondary tumor
mixed germ cell tumor,9085/3,mixed teratoma and seminoma
"struma ovarii, nos",9090/0,struma ovarii
"struma ovarii, malignant",9090/3,malignant struma ovarii
"struma ovarii, malignant",9090/3,struma ovarii malignant
strumal carcinoid,9091/1,struma ovarii and carcinoid
"hydatidiform mole, nos",9100/0,hydatid mole
"hydatidiform mole, nos",9100/0,complete hydatidiform mole
"hydatidiform mole, nos",9100/0,hydatidiform mole
invasive hydatidiform mole,9100/1,chorioadenoma destruens
invasive hydatidiform mole,9100/1,chorioadenoma
invasive hydatidiform mole,9100/1,"invasive mole, nos"
invasive hydatidiform mole,9100/1,malignant hydatidiform mole
invasive hydatidiform mole,9100/1,invasive mole
"choriocarcinoma, nos",9100/3,chorionepithelioma
"choriocarcinoma, nos",9100/3,chorioepithelioma
"choriocarcinoma, nos",9100/3,choriocarcinoma
choriocarcinoma combined with other germ cell elements,9101/3,choriocarcinoma combined with teratoma
choriocarcinoma combined with other germ cell elements,9101/3,choriocarcinoma combined with embryonal carcinoma
"malignant teratoma, trophoblastic",9102/3,trophoblastic malignant teratoma
"malignant teratoma, trophoblastic",9102/3,malignant teratoma trophoblastic
"trophoblastic tumor, epithelioid",9105/3,epithelioid trophoblastic tumor
"trophoblastic tumor, epithelioid",9105/3,trophoblastic tumor epithelioid
"mesonephroma, benign",9110/0,mesonephric adenoma
"mesonephroma, benign",9110/0,wolffian duct adenoma
"mesonephroma, benign",9110/0,benign mesonephroma
"mesonephroma, benign",9110/0,mesonephroma benign
"mesonephric tumor, nos",9110/1,wolffian duct tumor
"mesonephric tumor, nos",9110/1,mesonephric tumor
"mesonephroma, malignant",9110/3,mesonephric adenocarcinoma
"mesonephroma, malignant",9110/3,"mesonephroma, nos"
"mesonephroma, malignant",9110/3,wolffian duct carcinoma
"mesonephroma, malignant",9110/3,malignant mesonephroma
"mesonephroma, malignant",9110/3,mesonephroma malignant
"mesonephroma, malignant",9110/3,mesonephroma
"hemangioma, nos",9120/0,"angioma, nos"
"hemangioma, nos",9120/0,chorioangioma
"hemangioma, nos",9120/0,hemangioma
"hemangioma, nos",9120/0,angioma
hemangiosarcoma,9120/3,angiosarcoma
racemose hemangioma,9123/0,arteriovenous hemangioma
epithelioid hemangioma,9125/0,histiocytoid hemangioma
"hemangioendothelioma, benign",9130/0,benign hemangioendothelioma
"hemangioendothelioma, benign",9130/0,hemangioendothelioma benign
"hemangioendothelioma, nos",9130/1,angioendothelioma
"hemangioendothelioma, nos",9130/1,kaposiform hemangioendothelioma
"hemangioendothelioma, nos",9130/1,hemangioendothelioma
"hemangioendothelioma, malignant",9130/3,hemangioendothelial sarcoma
"hemangioendothelioma, malignant",9130/3,malignant hemangioendothelioma
"hemangioendothelioma, malignant",9130/3,hemangioendothelioma malignant
capillary hemangioma,9131/0,hemangioma simplex
capillary hemangioma,9131/0,infantile hemangioma
capillary hemangioma,9131/0,plexiform hemangioma
capillary hemangioma,9131/0,juvenile hemangioma
"epithelioid hemangioendothelioma, nos",9133/1,epithelioid hemangioendothelioma
"epithelioid hemangioendothelioma, malignant",9133/3,intravascular bronchial alveolar tumor
"epithelioid hemangioendothelioma, malignant",9133/3,malignant epithelioid hemangioendothelioma
"epithelioid hemangioendothelioma, malignant",9133/3,epithelioid hemangioendothelioma malignant
endovascular papillary angioendothelioma,9135/1,dabska tumor
spindle cell hemangioendothelioma,9136/1,spindle cell angioendothelioma
kaposi sarcoma,9140/3,multiple hemorrhagic sarcoma
"hemangiopericytoma, benign",9150/0,benign hemangiopericytoma
"hemangiopericytoma, benign",9150/0,hemangiopericytoma benign
"hemangiopericytoma, nos",9150/1,hemangiopericytic meningioma
"hemangiopericytoma, nos",9150/1,hemangiopericytoma
"hemangiopericytoma, malignant",9150/3,malignant hemangiopericytoma
"hemangiopericytoma, malignant",9150/3,hemangiopericytoma malignant
"angiofibroma, nos",9160/0,juvenile angiofibroma
"angiofibroma, nos",9160/0,fibrous papule of nose
"angiofibroma, nos",9160/0,involuting nevus
"angiofibroma, nos",9160/0,giant cell angiofibroma
"angiofibroma, nos",9160/0,cellular angiofibroma
"angiofibroma, nos",9160/0,angiofibroma
hemangioblastoma,9161/1,angioblastoma
"lymphangioma, nos",9170/0,"lymphangioendothelioma, nos"
"lymphangioma, nos",9170/0,lymphangioma
"lymphangioma, nos",9170/0,lymphangioendothelioma
lymphangiosarcoma,9170/3,lymphangioendothelial sarcoma
lymphangiosarcoma,9170/3,"lymphangioendothelioma, malignant"
lymphangiosarcoma,9170/3,malignant lymphangioendothelioma
lymphangiosarcoma,9170/3,lymphangioendothelioma malignant
cystic lymphangioma,9173/0,"hygroma, nos"
cystic lymphangioma,9173/0,cystic hygroma
cystic lymphangioma,9173/0,hygroma
lymphangiomyomatosis,9174/1,lymphangioleiomyomatosis
"osteoma, nos",9180/0,osteoma
"osteosarcoma, nos",9180/3,"osteogenic sarcoma, nos"
"osteosarcoma, nos",9180/3,osteochondrosarcoma
"osteosarcoma, nos",9180/3,osteoblastic sarcoma
"osteosarcoma, nos",9180/3,osteosarcoma
"osteosarcoma, nos",9180/3,osteogenic sarcoma
fibroblastic osteosarcoma,9182/3,osteofibrosarcoma
small cell osteosarcoma,9185/3,round cell osteosarcoma
central osteosarcoma,9186/3,conventional central osteosarcoma
central osteosarcoma,9186/3,medullary osteosarcoma
intraosseous well differentiated osteosarcoma,9187/3,intraosseous low grade osteosarcoma
"osteoid osteoma, nos",9191/0,osteoid osteoma
parosteal osteosarcoma,9192/3,juxtacortical osteosarcoma
"osteoblastoma, nos",9200/0,giant osteoid osteoma
"osteoblastoma, nos",9200/0,osteoblastoma
osteochondroma,9210/0,cartilaginous exostosis
osteochondroma,9210/0,osteocartilaginous exostosis
osteochondroma,9210/0,ecchondroma
"osteochondromatosis, nos",9210/1,ecchondrosis
"osteochondromatosis, nos",9210/1,osteochondromatosis
"chondroma, nos",9220/0,enchondroma
"chondroma, nos",9220/0,chondroma
"chondromatosis, nos",9220/1,chondromatosis
"chondrosarcoma, nos",9220/3,fibrochondrosarcoma
"chondrosarcoma, nos",9220/3,chondrosarcoma
juxtacortical chondroma,9221/0,periosteal chondroma
juxtacortical chondrosarcoma,9221/3,periosteal chondrosarcoma
"chondroblastoma, nos",9230/0,chondromatous giant cell tumor
"chondroblastoma, nos",9230/0,codman tumor
"chondroblastoma, nos",9230/0,chondroblastoma
"chondroblastoma, malignant",9230/3,malignant chondroblastoma
"chondroblastoma, malignant",9230/3,chondroblastoma malignant
"giant cell tumor of bone, nos",9250/1,"osteoclastoma, nos"
"giant cell tumor of bone, nos",9250/1,giant cell tumor of bone
"giant cell tumor of bone, nos",9250/1,osteoclastoma
"giant cell tumor of bone, malignant",9250/3,"osteoclastoma, malignant"
"giant cell tumor of bone, malignant",9250/3,giant cell sarcoma of bone
"giant cell tumor of bone, malignant",9250/3,malignant giant cell tumor of bone
"giant cell tumor of bone, malignant",9250/3,giant cell tumor of bone malignant
"giant cell tumor of bone, malignant",9250/3,malignant osteoclastoma
"giant cell tumor of bone, malignant",9250/3,osteoclastoma malignant
"giant cell tumor of soft parts, nos",9251/1,giant cell tumor of soft parts
tenosynovial giant cell tumor,9252/0,fibrous histiocytoma of tendon sheath
tenosynovial giant cell tumor,9252/0,giant cell tumor of tendon sheath
malignant tenosynovial giant cell tumor,9252/3,"giant cell tumor of tendon sheath, malignant"
malignant tenosynovial giant cell tumor,9252/3,malignant giant cell tumor of tendon sheath
malignant tenosynovial giant cell tumor,9252/3,giant cell tumor of tendon sheath malignant
ewing sarcoma,9260/3,ewing tumor
adamantinoma of long bones,9261/3,tibial adamantinoma
ossifying fibroma,9262/0,fibro-osteoma
ossifying fibroma,9262/0,osteofibroma
"odontogenic tumor, benign",9270/0,benign odontogenic tumor
"odontogenic tumor, benign",9270/0,odontogenic tumor benign
"odontogenic tumor, nos",9270/1,odontogenic tumor
"odontogenic tumor, malignant",9270/3,odontogenic carcinoma
"odontogenic tumor, malignant",9270/3,odontogenic sarcoma
"odontogenic tumor, malignant",9270/3,primary intraosseous carcinoma
"odontogenic tumor, malignant",9270/3,ameloblastic carcinoma
"odontogenic tumor, malignant",9270/3,malignant odontogenic tumor
"odontogenic tumor, malignant",9270/3,odontogenic tumor malignant
ameloblastic fibrodentinoma,9271/0,dentinoma
"cementoma, nos",9272/0,periapical cemental dysplasia
"cementoma, nos",9272/0,periapical cemento-osseous dysplasia
"cementoma, nos",9272/0,cementoma
"cementoblastoma, benign",9273/0,benign cementoblastoma
"cementoblastoma, benign",9273/0,cementoblastoma benign
cementifying fibroma,9274/0,cemento-ossifying fibroma
gigantiform cementoma,9275/0,florid osseous dysplasia
"odontoma, nos",9280/0,odontoma
ameloblastic fibro-odontoma,9290/0,fibroameloblastic odontoma
"ependymoma, anaplastic",9392/3,ependymoblastoma
"ependymoma, anaplastic",9392/3,anaplastic ependymoma
"ependymoma, anaplastic",9392/3,ependymoma anaplastic
"astrocytoma, nos",9400/3,astrocytic glioma
"astrocytoma, nos",9400/3,astroglioma
"astrocytoma, nos",9400/3,diffuse astrocytoma
"astrocytoma, nos",9400/3,"astrocytoma, low grade"
"astrocytoma, nos",9400/3,"diffuse astrocytoma, low grade"
"astrocytoma, nos",9400/3,cystic astrocytoma
"astrocytoma, nos",9400/3,astrocytoma
"astrocytoma, nos",9400/3,low grade astrocytoma
"astrocytoma, nos",9400/3,astrocytoma low grade
"astrocytoma, nos",9400/3,low grade diffuse astrocytoma
"astrocytoma, nos",9400/3,diffuse astrocytoma low grade
"astrocytoma, anaplastic",9401/3,anaplastic astrocytoma
"astrocytoma, anaplastic",9401/3,astrocytoma anaplastic
gemistocytic astrocytoma,9411/3,gemistocytoma
desmoplastic infantile astrocytoma,9412/1,desmoplastic infantile ganglioglioma
fibrillary astrocytoma,9420/3,fibrous astrocytoma
pilocytic astrocytoma,9421/1,piloid astrocytoma
pilocytic astrocytoma,9421/1,juvenile astrocytoma
pilocytic astrocytoma,9421/1,"spongioblastoma, nos"
pilocytic astrocytoma,9421/1,spongioblastoma
polar spongioblastoma,9423/3,spongioblastoma polare
polar spongioblastoma,9423/3,primitive polar spongioblastoma
"glioblastoma, nos",9440/3,glioblastoma multiforme
"glioblastoma, nos",9440/3,spongioblastoma multiforme
"glioblastoma, nos",9440/3,glioblastoma
giant cell glioblastoma,9441/3,monstrocellular sarcoma
gliosarcoma,9442/3,glioblastoma with sarcomatous component
chordoid glioma,9444/1,chordoid glioma of third ventricle
"oligodendroglioma, nos",9450/3,oligodendroglioma
"oligodendroglioma, anaplastic",9451/3,anaplastic oligodendroglioma
"oligodendroglioma, anaplastic",9451/3,oligodendroglioma anaplastic
"medulloblastoma, nos",9470/3,melanotic medulloblastoma
"medulloblastoma, nos",9470/3,medulloblastoma
desmoplastic nodular medulloblastoma,9471/3,desmoplastic medulloblastoma
desmoplastic nodular medulloblastoma,9471/3,circumscribed arachnoidal cerebellar sarcoma
"primitive neuroectodermal tumor, nos",9473/3,"pnet, nos"
"primitive neuroectodermal tumor, nos",9473/3,"central primitive neuroectodermal tumor, nos"
"primitive neuroectodermal tumor, nos",9473/3,cpnet
"primitive neuroectodermal tumor, nos",9473/3,supratentorial pnet
"primitive neuroectodermal tumor, nos",9473/3,primitive neuroectodermal tumor
"primitive neuroectodermal tumor, nos",9473/3,pnet
"primitive neuroectodermal tumor, nos",9473/3,central primitive neuroectodermal tumor
"cerebellar sarcoma, nos",9480/3,cerebellar sarcoma
"neuroblastoma, nos",9500/3,sympathicoblastoma
"neuroblastoma, nos",9500/3,central neuroblastoma
"neuroblastoma, nos",9500/3,neuroblastoma
"medulloepithelioma, benign",9501/0,"diktyoma, benign"
"medulloepithelioma, benign",9501/0,benign medulloepithelioma
"medulloepithelioma, benign",9501/0,medulloepithelioma benign
"medulloepithelioma, benign",9501/0,benign diktyoma
"medulloepithelioma, benign",9501/0,diktyoma benign
"medulloepithelioma, nos",9501/3,"diktyoma, malignant"
"medulloepithelioma, nos",9501/3,medulloepithelioma
"medulloepithelioma, nos",9501/3,malignant diktyoma
"medulloepithelioma, nos",9501/3,diktyoma malignant
"teratoid medulloepithelioma, benign",9502/0,benign teratoid medulloepithelioma
"teratoid medulloepithelioma, benign",9502/0,teratoid medulloepithelioma benign
"neuroepithelioma, nos",9503/3,neuroepithelioma
"ganglioglioma, nos",9505/1,glioneuroma
"ganglioglioma, nos",9505/1,neuroastrocytoma
"ganglioglioma, nos",9505/1,ganglioglioma
"ganglioglioma, anaplastic",9505/3,anaplastic ganglioglioma
"ganglioglioma, anaplastic",9505/3,ganglioglioma anaplastic
central neurocytoma,9506/1,neurocytoma
central neurocytoma,9506/1,cerebellar liponeurocytoma
central neurocytoma,9506/1,lipomatous medulloblastoma
central neurocytoma,9506/1,neurolipocytoma
central neurocytoma,9506/1,medullocytoma
"retinoblastoma, nos",9510/3,retinoblastoma
"retinoblastoma, differentiated",9511/3,differentiated retinoblastoma
"retinoblastoma, differentiated",9511/3,retinoblastoma differentiated
"retinoblastoma, undifferentiated",9512/3,undifferentiated retinoblastoma
"retinoblastoma, undifferentiated",9512/3,retinoblastoma undifferentiated
"retinoblastoma, diffuse",9513/3,diffuse retinoblastoma
"retinoblastoma, diffuse",9513/3,retinoblastoma diffuse
